Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Pound;Normal;Klaps;Écras'Face;Destructor;Botta;はたく;막치기;拍击;拍擊
Karate Chop;Fighting;Karateschlag;Poing Karaté;Golpe Kárate;Colpokarate;からてチョップ;태권당수;空手劈;空手劈
Double Slap;Normal;Duplexhieb;Torgnoles;Doble Bofetón;Doppiasberla;おうふくビンタ;연속뺨치기;连环巴掌;連環巴掌
Comet Punch;Normal;Kometenhieb;Poing Comète;Puño Cometa;Cometapugno;れんぞくパンチ;연속펀치;连续拳;連續拳
Mega Punch;Normal;Megahieb;Ultimapoing;Megapuño;Megapugno;メガトンパンチ;메가톤펀치;百万吨重拳;百萬噸重拳
Pay Day;Normal;Zahltag;Jackpot;Día de Pago;Giornopaga;ネコにこばん;고양이돈받기;聚宝功;聚寶功
Fire Punch;Fire;Feuerschlag;Poing Feu;Puño Fuego;Fuocopugno;ほのおのパンチ;불꽃펀치;火焰拳;火焰拳
Ice Punch;Ice;Eishieb;Poing Glace;Puño Hielo;Gelopugno;れいとうパンチ;냉동펀치;冰冻拳;冰凍拳
Thunder Punch;Electric;Donnerschlag;Poing Éclair;Puño Trueno;Tuonopugno;かみなりパンチ;번개펀치;雷电拳;雷電拳
Scratch;Normal;Kratzer;Griffe;Arañazo;Graffio;ひっかく;할퀴기;抓;抓
Vise Grip;Normal;Klammer;Force Poigne;Agarre;Presa;はさむ;찝기;夹住;夾住
Guillotine;Normal;Guillotine;Guillotine;Guillotina;Ghigliottina;ハサミギロチン;가위자르기;极落钳;斷頭鉗
Razor Wind;Normal;Klingensturm;Coupe-Vent;Viento Cortante;Ventagliente;かまいたち;칼바람;旋风刀;旋風刀
Swords Dance;Normal;Schwerttanz;Danse Lames;Danza Espada;Danzaspada;つるぎのまい;칼춤;剑舞;劍舞
Cut;Normal;Zerschneider;Coupe;Corte;Taglio;いあいぎり;풀베기;居合劈;居合斬
Gust;Flying;Windstoß;Tornade;Tornado;Raffica;かぜおこし;바람일으키기;起风;起風
Wing Attack;Flying;Flügelschlag;Cru-Ailes;Ataque Ala;Attacco d'Ala;つばさでうつ;날개치기;翅膀攻击;翅膀攻擊
Whirlwind;Normal;Wirbelwind;Cyclone;Remolino;Turbine;ふきとばし;날려버리기;吹飞;吹飛
Fly;Flying;Fliegen;Vol;Vuelo;Volo;そらをとぶ;공중날기;飞翔;飛翔
Bind;Normal;Klammergriff;Étreinte;Atadura;Legatutto;しめつける;조이기;绑紧;綁緊
Slam;Normal;Slam;Souplesse;Atizar;Schianto;たたきつける;힘껏치기;摔打;摔打
Vine Whip;Grass;Rankenhieb;Fouet Lianes;Látigo Cepa;Frustata;つるのムチ;덩굴채찍;藤鞭;藤鞭
Stomp;Normal;Stampfer;Écrasement;Pisotón;Pestone;ふみつけ;짓밟기;踩踏;踩踏
Double Kick;Fighting;Doppelkick;Double Pied;Doble Patada;Doppiocalcio;にどげり;두번차기;二连踢;二連踢
Mega Kick;Normal;Megakick;Ultimawashi;Megapatada;Megacalcio;メガトンキック;메가톤킥;百万吨重踢;百萬噸重踢
Jump Kick;Fighting;Sprungkick;Pied Sauté;Patada Salto;Calciosalto;とびげり;점프킥;飞踢;飛踢
Rolling Kick;Fighting;Fegekick;Mawashi Geri;Patada Giro;Calciorullo;まわしげり;돌려차기;回旋踢;迴旋踢
Sand Attack;Ground;Sandwirbel;Jet de Sable;Ataque Arena;Turbosabbia;すなかけ;모래뿌리기;泼沙;潑沙
Headbutt;Normal;Kopfnuss;Coup d'Boule;Golpe Cabeza;Bottintesta;ずつき;박치기;头锤;頭錘
Horn Attack;Normal;Hornattacke;Koud'Korne;Cornada;Incornata;つのでつく;뿔찌르기;角撞;角撞
Fury Attack;Normal;Furienschlag;Furie;Ataque Furia;Furia;みだれづき;마구찌르기;乱击;亂擊
Horn Drill;Normal;Hornbohrer;Empal'Korne;Perforador;Perforcorno;つのドリル;뿔드릴;角钻;角鑽
Tackle;Normal;Tackle;Charge;Placaje;Azione;たいあたり;몸통박치기;撞击;撞擊
Body Slam;Normal;Bodyslam;Plaquage;Golpe Cuerpo;Corposcontro;のしかかり;누르기;泰山压顶;泰山壓頂
Wrap;Normal;Wickel;Ligotage;Constricción;Avvolgibotta;まきつく;김밥말이;紧束;緊束
Take Down;Normal;Bodycheck;Bélier;Derribo;Riduttore;とっしん;돌진;猛撞;猛撞
Thrash;Normal;Fuchtler;Mania;Saña;Colpo;あばれる;난동부리기;大闹一番;大鬧一番
Double-Edge;Normal;Risikotackle;Damoclès;Doble Filo;Sdoppiatore;すてみタックル;이판사판태클;舍身冲撞;捨身衝撞
Tail Whip;Normal;Rutenschlag;Mimi-Queue;Látigo;Colpocoda;しっぽをふる;꼬리흔들기;摇尾巴;搖尾巴
Poison Sting;Poison;Giftstachel;Dard-Venin;Picotazo Veneno;Velenospina;どくばり;독침;毒针;毒針
Twineedle;Bug;Duonadel;Double Dard;Doble Ataque;Doppio Ago;ダブルニードル;더블니들;双针;雙針
Pin Missile;Bug;Nadelrakete;Dard-Nuée;Pin Misil;Missilspillo;ミサイルばり;바늘미사일;飞弹针;飛彈針
Leer;Normal;Silberblick;Groz'Yeux;Malicioso;Fulmisguardo;にらみつける;째려보기;瞪眼;瞪眼
Bite;Dark;Biss;Morsure;Mordisco;Morso;かみつく;물기;咬住;咬住
Growl;Normal;Heuler;Rugissement;Gruñido;Ruggito;なきごえ;울음소리;叫声;叫聲
Roar;Normal;Brüller;Hurlement;Rugido;Boato;ほえる;울부짖기;吼叫;吼叫
Sing;Normal;Gesang;Berceuse;Canto;Canto;うたう;노래하기;唱歌;唱歌
Supersonic;Normal;Superschall;Ultrason;Supersónico;Supersuono;ちょうおんぱ;초음파;超音波;超音波
Sonic Boom;Normal;Ultraschall;Sonic Boom;Bomba Sónica;Sonicboom;ソニックブーム;소닉붐;音爆;音爆
Disable;Normal;Aussetzer;Entrave;Anulación;Inibitore;かなしばり;사슬묶기;定身法;定身法
Acid;Poison;Säure;Acide;Ácido;Acido;ようかいえき;용해액;溶解液;溶解液
Ember;Fire;Glut;Flammèche;Ascuas;Braciere;ひのこ;불꽃세례;火花;火花
Flamethrower;Fire;Flammenwurf;Lance-Flammes;Lanzallamas;Lanciafiamme;かえんほうしゃ;화염방사;喷射火焰;噴射火焰
Mist;Ice;Weißnebel;Brume;Neblina;Nebbia;しろいきり;흰안개;白雾;白霧
Water Gun;Water;Aquaknarre;Pistolet à O;Pistola Agua;Pistolacqua;みずでっぽう;물대포;水枪;水槍
Hydro Pump;Water;Hydropumpe;Hydrocanon;Hidrobomba;Idropompa;ハイドロポンプ;하이드로펌프;水炮;水炮
Surf;Water;Surfer;Surf;Surf;Surf;なみのり;파도타기;冲浪;衝浪
Ice Beam;Ice;Eisstrahl;Laser Glace;Rayo Hielo;Geloraggio;れいとうビーム;냉동빔;冰冻光束;冰凍光束
Blizzard;Ice;Blizzard;Blizzard;Ventisca;Bora;ふぶき;눈보라;暴风雪;暴風雪
Psybeam;Psychic;Psystrahl;Rafale Psy;Psicorrayo;Psicoraggio;サイケこうせん;환상빔;幻象光线;幻象光線
Bubble Beam;Water;Blubbstrahl;Bulles d'O;Rayo Burbuja;Bollaraggio;バブルこうせん;거품광선;泡沫光线;泡沫光線
Aurora Beam;Ice;Aurorastrahl;Onde Boréale;Rayo Aurora;Raggiaurora;オーロラビーム;오로라빔;极光束;極光束
Hyper Beam;Normal;Hyperstrahl;Ultralaser;Hiperrayo;Iper Raggio;はかいこうせん;파괴광선;破坏光线;破壞光線
Peck;Flying;Pikser;Picpic;Picotazo;Beccata;つつく;쪼기;啄;啄
Drill Peck;Flying;Bohrschnabel;Bec Vrille;Pico Taladro;Perforbecco;ドリルくちばし;회전부리;啄钻;啄鑽
Submission;Fighting;Überroller;Sacrifice;Sumisión;Sottomissione;じごくぐるま;지옥의바퀴;深渊翻滚;地獄翻滾
Low Kick;Fighting;Fußkick;Balayage;Patada Baja;Colpo Basso;けたぐり;안다리걸기;踢倒;踢倒
Counter;Fighting;Konter;Riposte;Contraataque;Contrattacco;カウンター;카운터;双倍奉还;雙倍奉還
Seismic Toss;Fighting;Geowurf;Frappe Atlas;Sísmico;Movim. Sismico;ちきゅうなげ;지구던지기;地球上投;地球上投
Strength;Normal;Stärke;Force;Fuerza;Forza;かいりき;괴력;怪力;怪力
Absorb;Grass;Absorber;Vole-Vie;Absorber;Assorbimento;すいとる;흡수;吸取;吸取
Mega Drain;Grass;Megasauger;Méga-Sangsue;Megaagotar;Megassorbimento;メガドレイン;메가드레인;超级吸取;超級吸取
Leech Seed;Grass;Egelsamen;Vampigraine;Drenadoras;Parassiseme;やどりぎのタネ;씨뿌리기;寄生种子;寄生種子
Growth;Normal;Wachstum;Croissance;Desarrollo;Crescita;せいちょう;성장;生长;生長
Razor Leaf;Grass;Rasierblatt;Tranch'Herbe;Hoja Afilada;Foglielama;はっぱカッター;잎날가르기;飞叶快刀;飛葉快刀
Solar Beam;Grass;Solarstrahl;Lance-Soleil;Rayo Solar;Solarraggio;ソーラービーム;솔라빔;日光束;日光束
Poison Powder;Poison;Giftpuder;Poudre Toxik;Polvo Veneno;Velenpolvere;どくのこな;독가루;毒粉;毒粉
Stun Spore;Grass;Stachelspore;Para-Spore;Paralizador;Paralizzante;しびれごな;저리가루;麻痹粉;麻痺粉
Sleep Powder;Grass;Schlafpuder;Poudre Dodo;Somnífero;Sonnifero;ねむりごな;수면가루;催眠粉;催眠粉
Petal Dance;Grass;Blättertanz;Danse Fleurs;Danza Pétalo;Petalodanza;はなびらのまい;꽃잎댄스;花瓣舞;花瓣舞
String Shot;Bug;Fadenschuss;Sécrétion;Disparo Demora;Millebave;いとをはく;실뿜기;吐丝;吐絲
Dragon Rage;Dragon;Drachenwut;Draco-Rage;Furia Dragón;Ira di Drago;りゅうのいかり;용의분노;龙之怒;龍之怒
Fire Spin;Fire;Feuerwirbel;Danse Flammes;Giro Fuego;Turbofuoco;ほのおのうず;회오리불꽃;火焰旋涡;火焰旋渦
Thunder Shock;Electric;Donnerschock;Éclair;Impactrueno;Tuonoshock;でんきショック;전기쇼크;电击;電擊
Thunderbolt;Electric;Donnerblitz;Tonnerre;Rayo;Fulmine;１０まんボルト;10만볼트;十万伏特;十萬伏特
Thunder Wave;Electric;Donnerwelle;Cage Éclair;Onda Trueno;Tuononda;でんじは;전기자석파;电磁波;電磁波
Thunder;Electric;Donner;Fatal-Foudre;Trueno;Tuono;かみなり;번개;打雷;打雷
Rock Throw;Rock;Steinwurf;Jet-Pierres;Lanzarrocas;Sassata;いわおとし;돌떨구기;落石;落石
Earthquake;Ground;Erdbeben;Séisme;Terremoto;Terremoto;じしん;지진;地震;地震
Fissure;Ground;Geofissur;Abîme;Fisura;Abisso;じわれ;땅가르기;地裂;地裂
Dig;Ground;Schaufler;Tunnel;Excavar;Fossa;あなをほる;구멍파기;挖洞;挖洞
Toxic;Poison;Toxin;Toxik;Tóxico;Tossina;どくどく;맹독;剧毒;劇毒
Confusion;Psychic;Konfusion;Choc Mental;Confusión;Confusione;ねんりき;염동력;念力;念力
Psychic;Psychic;Psychokinese;Psyko;Psíquico;Psichico;サイコキネシス;사이코키네시스;精神强念;精神強念
Hypnosis;Psychic;Hypnose;Hypnose;Hipnosis;Ipnosi;さいみんじゅつ;최면술;催眠术;催眠術
Meditate;Psychic;Meditation;Yoga;Meditación;Meditazione;ヨガのポーズ;요가포즈;瑜伽姿势;瑜伽姿勢
Agility;Psychic;Agilität;Hâte;Agilidad;Agilità;こうそくいどう;고속이동;高速移动;高速移動
Quick Attack;Normal;Ruckzuckhieb;Vive-Attaque;Ataque Rápido;Attacco Rapido;でんこうせっか;전광석화;电光一闪;電光一閃
Rage;Normal;Raserei;Frénésie;Furia;Ira;いかり;분노;愤怒;憤怒
Teleport;Psychic;Teleport;Téléport;Teletransporte;Teletrasporto;テレポート;순간이동;瞬间移动;瞬間移動
Night Shade;Ghost;Nachtnebel;Ombre Nocturne;Tinieblas;Ombra Notturna;ナイトヘッド;나이트헤드;黑夜魔影;黑夜魔影
Mimic;Normal;Mimikry;Copie;Mimético;Mimica;ものまね;흉내내기;模仿;模仿
Screech;Normal;Kreideschrei;Grincement;Chirrido;Stridio;いやなおと;싫은소리;刺耳声;刺耳聲
Double Team;Normal;Doppelteam;Reflet;Doble Equipo;Doppioteam;かげぶんしん;그림자분신;影子分身;影子分身
Recover;Normal;Genesung;Soin;Recuperación;Ripresa;じこさいせい;HP회복;自我再生;自我再生
Harden;Normal;Härtner;Armure;Fortaleza;Rafforzatore;かたくなる;단단해지기;变硬;變硬
Minimize;Normal;Komprimator;Lilliput;Reducción;Minimizzato;ちいさくなる;작아지기;变小;變小
Smokescreen;Normal;Rauchwolke;Brouillard;Pantalla de Humo;Muro di Fumo;えんまく;연막;烟幕;煙幕
Confuse Ray;Ghost;Konfusstrahl;Onde Folie;Rayo Confuso;Stordiraggio;あやしいひかり;이상한빛;奇异之光;奇異之光
Withdraw;Water;Panzerschutz;Repli;Refugio;Ritirata;からにこもる;껍질에숨기;缩入壳中;縮入殼中
Defense Curl;Normal;Einigler;Boul'Armure;Rizo Defensa;Ricciolscudo;まるくなる;웅크리기;变圆;變圓
Barrier;Psychic;Barriere;Bouclier;Barrera;Barriera;バリアー;배리어;屏障;屏障
Light Screen;Psychic;Lichtschild;Mur Lumière;Pantalla de Luz;Schermoluce;ひかりのかべ;빛의장막;光墙;光牆
Haze;Ice;Dunkelnebel;Buée Noire;Niebla;Nube;くろいきり;흑안개;黑雾;黑霧
Reflect;Psychic;Reflektor;Protection;Reflejo;Riflesso;リフレクター;리플렉터;反射壁;反射壁
Focus Energy;Normal;Energiefokus;Puissance;Foco Energía;Focalenergia;きあいだめ;기충전;聚气;聚氣
Bide;Normal;Geduld;Patience;Venganza;Pazienza;がまん;참기;忍耐;忍耐
Metronome;Normal;Metronom;Métronome;Metrónomo;Metronomo;ゆびをふる;손가락흔들기;挥指;揮指
Mirror Move;Flying;Spiegeltrick;Mimique;Espejo;Speculmossa;オウムがえし;따라하기;鹦鹉学舌;鸚鵡學舌
Self-Destruct;Normal;Finale;Destruction;Autodestrucción;Autodistruzione;じばく;자폭;玉石俱碎;自爆
Egg Bomb;Normal;Eierbombe;Bombe Œuf;Bomba Huevo;Uovobomba;タマゴばくだん;알폭탄;炸蛋;炸蛋
Lick;Ghost;Schlecker;Léchouille;Lengüetazo;Leccata;したでなめる;핥기;舌舔;舌舔
Smog;Poison;Smog;Purédpois;Polución;Smog;スモッグ;스모그;浊雾;濁霧
Sludge;Poison;Schlammbad;Détritus;Residuos;Fango;ヘドロこうげき;오물공격;污泥攻击;污泥攻擊
Bone Club;Ground;Knochenkeule;Massd'Os;Hueso Palo;Ossoclava;ホネこんぼう;뼈다귀치기;骨棒;骨棒
Fire Blast;Fire;Feuersturm;Déflagration;Llamarada;Fuocobomba;だいもんじ;불대문자;大字爆炎;大字爆炎
Waterfall;Water;Kaskade;Cascade;Cascada;Cascata;たきのぼり;폭포오르기;攀瀑;攀瀑
Clamp;Water;Schnapper;Claquoir;Tenaza;Tenaglia;からではさむ;껍질끼우기;贝壳夹击;貝殼夾擊
Swift;Normal;Sternschauer;Météores;Meteoros;Comete;スピードスター;스피드스타;高速星星;高速星星
Skull Bash;Normal;Schädelwumme;Coud'Krâne;Cabezazo;Capocciata;ロケットずつき;로켓박치기;火箭头锤;火箭頭錘
Spike Cannon;Normal;Dornkanone;Picanon;Clavo Cañón;Sparalance;とげキャノン;가시대포;尖刺加农炮;尖刺加農炮
Constrict;Normal;Umklammerung;Constriction;Restricción;Limitazione;からみつく;휘감기;缠绕;纏繞
Amnesia;Psychic;Amnesie;Amnésie;Amnesia;Amnesia;ドわすれ;망각술;瞬间失忆;瞬間失憶
Kinesis;Psychic;Psykraft;Télékinésie;Kinético;Cinèsi;スプーンまげ;숟가락휘기;折弯汤匙;折彎湯匙
Soft-Boiled;Normal;Weichei;E-Coque;Ovocuración;Covauova;タマゴうみ;알낳기;生蛋;生蛋
High Jump Kick;Fighting;Turmkick;Pied Voltige;Pat. Salto Alta;Calcinvolo;とびひざげり;무릎차기;飞膝踢;飛膝踢
Glare;Normal;Schlangenblick;Regard Médusant;Deslumbrar;Sguardo Feroce;へびにらみ;뱀눈초리;大蛇瞪眼;大蛇瞪眼
Dream Eater;Psychic;Traumfresser;Dévorêve;Comesueños;Mangiasogni;ゆめくい;꿈먹기;食梦;食夢
Poison Gas;Poison;Giftwolke;Gaz Toxik;Gas Venenoso;Velenogas;どくガス;독가스;毒瓦斯;毒瓦斯
Barrage;Normal;Stakkato;Pilonnage;Bombardeo;Sferattacco;たまなげ;구슬던지기;投球;投球
Leech Life;Bug;Blutsauger;Vampirisme;Chupavidas;Sanguisuga;きゅうけつ;흡혈;汲取;吸血
Lovely Kiss;Normal;Todeskuss;Grobisou;Beso Amoroso;Demonbacio;あくまのキッス;악마의키스;恶魔之吻;惡魔之吻
Sky Attack;Flying;Himmelsfeger;Piqué;Ataque Aéreo;Aeroattacco;ゴッドバード;불새;神鸟猛击;神鳥猛擊
Transform;Normal;Wandler;Morphing;Transformación;Trasformazione;へんしん;변신;变身;變身
Bubble;Water;Blubber;Écume;Burbuja;Bolla;あわ;거품;泡沫;泡沫
Dizzy Punch;Normal;Irrschlag;Uppercut;Puño Mareo;Stordipugno;ピヨピヨパンチ;잼잼펀치;迷昏拳;迷昏拳
Spore;Grass;Pilzspore;Spore;Espora;Spora;キノコのほうし;버섯포자;蘑菇孢子;蘑菇孢子
Flash;Normal;Blitz;Flash;Destello;Flash;フラッシュ;플래시;闪光;閃光
Psywave;Psychic;Psywelle;Vague Psy;Psicoonda;Psiconda;サイコウェーブ;사이코웨이브;精神波;精神波
Splash;Normal;Platscher;Trempette;Salpicadura;Splash;はねる;튀어오르기;跃起;躍起
Acid Armor;Poison;Säurepanzer;Acidarmure;Armadura Ácida;Scudo Acido;とける;녹기;溶化;溶化
Crabhammer;Water;Krabbhammer;Pince-Masse;Martillazo;Martellata;クラブハンマー;집게해머;蟹钳锤;蟹鉗錘
Explosion;Normal;Explosion;Explosion;Explosión;Esplosione;だいばくはつ;대폭발;大爆炸;大爆炸
Fury Swipes;Normal;Kratzfurie;Combo-Griffe;Golpes Furia;Sfuriate;みだれひっかき;마구할퀴기;乱抓;亂抓
Bonemerang;Ground;Knochmerang;Osmerang;Huesomerang;Ossomerang;ホネブーメラン;뼈다귀부메랑;骨头回力镖;骨頭回力鏢
Rest;Psychic;Erholung;Repos;Descanso;Riposo;ねむる;잠자기;睡觉;睡覺
Rock Slide;Rock;Steinhagel;Éboulement;Avalancha;Frana;いわなだれ;스톤샤워;岩崩;岩崩
Hyper Fang;Normal;Hyperzahn;Croc de Mort;Hipercolmillo;Iperzanna;ひっさつまえば;필살앞니;终结门牙;必殺門牙
Sharpen;Normal;Schärfer;Affûtage;Afilar;Affilatore;かくばる;각지기;棱角化;稜角化
Conversion;Normal;Umwandlung;Conversion;Conversión;Conversione;テクスチャー;텍스처;纹理;紋理
Tri Attack;Normal;Triplette;Triplattaque;Triataque;Tripletta;トライアタック;트라이어택;三重攻击;三重攻擊
Super Fang;Normal;Superzahn;Croc Fatal;Superdiente;Superzanna;いかりのまえば;분노의앞니;愤怒门牙;憤怒門牙
Slash;Normal;Schlitzer;Tranche;Cuchillada;Lacerazione;きりさく;베어가르기;劈开;劈開
Substitute;Normal;Delegator;Clonage;Sustituto;Sostituto;みがわり;대타출동;替身;替身
Struggle;Normal;Verzweifler;Lutte;Forcejeo;Scontro;わるあがき;발버둥;挣扎;掙扎
Sketch;Normal;Nachahmer;Gribouille;Esquema;Schizzo;スケッチ;스케치;写生;寫生
Triple Kick;Fighting;Dreifachkick;Triple Pied;Triple Patada;Triplocalcio;トリプルキック;트리플킥;三连踢;三連踢
Thief;Dark;Raub;Larcin;Ladrón;Furto;どろぼう;도둑질;小偷;小偷
Spider Web;Bug;Spinnennetz;Toile;Telaraña;Ragnatela;クモのす;거미집;蛛网;蛛網
Mind Reader;Normal;Willensleser;Lire-Esprit;Telépata;Leggimente;こころのめ;마음의눈;心之眼;心之眼
Nightmare;Ghost;Nachtmahr;Cauchemar;Pesadilla;Incubo;あくむ;악몽;恶梦;惡夢
Flame Wheel;Fire;Flammenrad;Roue de Feu;Rueda Fuego;Ruotafuoco;かえんぐるま;화염바퀴;火焰轮;火焰輪
Snore;Normal;Schnarcher;Ronflement;Ronquido;Russare;いびき;코골기;打鼾;打鼾
Curse;Ghost;Fluch;Malédiction;Maldición;Maledizione;のろい;저주;咒术;詛咒
Flail;Normal;Dreschflegel;Gigotage;Azote;Flagello;じたばた;바둥바둥;抓狂;抓狂
Conversion 2;Normal;Umwandlung 2;Conversion 2;Conversión2;Conversione2;テクスチャー２;텍스처2;纹理２;紋理２
Aeroblast;Flying;Luftstoß;Aéroblast;Aerochorro;Aerocolpo;エアロブラスト;에어로블라스트;气旋攻击;氣旋攻擊
Cotton Spore;Grass;Baumwollsaat;Spore Coton;Esporagodón;Cotonspora;わたほうし;목화포자;棉孢子;棉孢子
Reversal;Fighting;Gegenschlag;Contre;Inversión;Contropiede;きしかいせい;기사회생;绝处逢生;起死回生
Spite;Ghost;Groll;Dépit;Rencor;Dispetto;うらみ;원한;怨恨;怨恨
Powder Snow;Ice;Pulverschnee;Poudreuse;Nieve Polvo;Polneve;こなゆき;눈싸라기;细雪;細雪
Protect;Normal;Schutzschild;Abri;Protección;Protezione;まもる;방어;守住;守住
Mach Punch;Fighting;Tempohieb;Mach Punch;Ultrapuño;Pugnorapido;マッハパンチ;마하펀치;音速拳;音速拳
Scary Face;Normal;Grimasse;Grimace;Cara Susto;Visotruce;こわいかお;겁나는얼굴;可怕面孔;鬼面
Feint Attack;Dark;Finte;Feinte;Finta;Finta;だましうち;속여때리기;出奇一击;出奇一擊
Sweet Kiss;Fairy;Bitterkuss;Doux Baiser;Beso Dulce;Dolcebacio;てんしのキッス;천사의키스;天使之吻;天使之吻
Belly Drum;Normal;Bauchtrommel;Cognobidon;Tambor;Panciamburo;はらだいこ;배북;腹鼓;腹鼓
Sludge Bomb;Poison;Matschbombe;Bombe Beurk;Bomba Lodo;Fangobomba;ヘドロばくだん;오물폭탄;污泥炸弹;污泥炸彈
Mud-Slap;Ground;Lehmschelle;Coud'Boue;Bofetón Lodo;Fangosberla;どろかけ;진흙뿌리기;掷泥;擲泥
Octazooka;Water;Octazooka;Octazooka;Pulpocañón;Octazooka;オクタンほう;대포무노포;章鱼桶炮;章魚桶炮
Spikes;Ground;Stachler;Picots;Púas;Punte;まきびし;압정뿌리기;撒菱;撒菱
Zap Cannon;Electric;Blitzkanone;Élecanon;Electrocañón;Elettrocannone;でんじほう;전자포;电磁炮;電磁炮
Foresight;Normal;Scharfblick;Clairvoyance;Profecía;Preveggenza;みやぶる;꿰뚫어보기;识破;識破
Destiny Bond;Ghost;Abgangsbund;Lien du Destin;Mismo Destino;Destinobbligato;みちづれ;길동무;同命;同命
Perish Song;Normal;Abgesang;Requiem;Canto Mortal;Ultimocanto;ほろびのうた;멸망의노래;终焉之歌;滅亡之歌
Icy Wind;Ice;Eissturm;Vent Glace;Viento Hielo;Ventogelato;こごえるかぜ;얼어붙은바람;冰冻之风;冰凍之風
Detect;Fighting;Scanner;Détection;Detección;Individua;みきり;판별;看穿;看穿
Bone Rush;Ground;Knochenhatz;Charge Os;Ataque Óseo;Ossoraffica;ボーンラッシュ;본러시;骨棒乱打;骨棒亂打
Lock-On;Normal;Zielschuss;Verrouillage;Fijar Blanco;Localizza;ロックオン;록온;锁定;鎖定
Outrage;Dragon;Wutanfall;Colère;Enfado;Oltraggio;げきりん;역린;逆鳞;逆鱗
Sandstorm;Rock;Sandsturm;Tempête de Sable;Tormenta Arena;Terrempesta;すなあらし;모래바람;沙暴;沙暴
Giga Drain;Grass;Gigasauger;Giga-Sangsue;Gigadrenado;Gigassorbimento;ギガドレイン;기가드레인;终极吸取;終極吸取
Endure;Normal;Ausdauer;Ténacité;Aguante;Resistenza;こらえる;버티기;挺住;挺住
Charm;Fairy;Charme;Charme;Encanto;Fascino;あまえる;애교부리기;撒娇;撒嬌
Rollout;Rock;Walzer;Roulade;Rodar;Rotolamento;ころがる;구르기;滚动;滾動
False Swipe;Normal;Trugschlag;Faux-Chage;Falso Tortazo;Falsofinale;みねうち;칼등치기;点到为止;點到為止
Swagger;Normal;Angeberei;Vantardise;Contoneo;Bullo;いばる;뽐내기;虚张声势;虛張聲勢
Milk Drink;Normal;Milchgetränk;Lait à Boire;Batido;Buonlatte;ミルクのみ;우유마시기;喝牛奶;喝牛奶
